dataset,split,bucket_feature,bucket,method,n_queries,recall_at_5,mrr,ndcg_at_5,reward,reward_delta_vs_train_best,reward_delta_vs_heuristic,rewrite_cost,retrieval_calls,oracle_margin,oracle_tie_count
scifact,test,state_bm25_entropy,mid,Oracle retrieval action,99,0.8560606060606061,0.7324915824915825,0.7612130218517706,1.2223063973063972,0.12755892255892243,0.1384680134680134,0.0,1.0,0.02602693602693603,4.878787878787879
scifact,test,state_bm25_entropy,high,Train-best retrieval action,100,0.557,0.4096666666666667,0.4393540565014496,0.7318333333333333,0.0,0.05813333333333326,0.03,2.0,0.05625,5.06
scifact,test,state_bm25_entropy,high,Heuristic retrieval router,100,0.4928333333333333,0.37133333333333335,0.39195927819472204,0.6737000000000001,-0.05813333333333326,0.0,0.0048,1.16,0.05625,5.06
scifact,test,state_bm25_entropy,high,Selective retrieval policy,100,0.5851666666666666,0.4205,0.4522448294292672,0.7831166666666667,0.05128333333333335,0.1094166666666666,0.0123,1.41,0.05625,5.06
scifact,test,state_bm25_entropy,high,Confidence-gated retrieval policy,100,0.5851666666666666,0.4205,0.4522448294292672,0.7831166666666667,0.05128333333333335,0.1094166666666666,0.0123,1.41,0.05625,5.06
scifact,test,state_bm25_entropy,high,Oracle retrieval action,100,0.693,0.5476666666666667,0.5759777235789579,0.9662333333333334,0.23440000000000005,0.2925333333333333,0.0006,1.02,0.05625,5.06
scifact,test,predicted_action_margin,low,Train-best retrieval action,100,0.8366666666666666,0.7264999999999999,0.7505503620814196,1.1699166666666667,0.0,0.0035000000000002807,0.03,2.0,0.047233333333333336,5.73
scifact,test,predicted_action_margin,low,Heuristic retrieval router,100,0.8091666666666666,0.7144999999999999,0.7309930553177988,1.1664166666666664,-0.0035000000000002807,0.0,0.0,1.0,0.047233333333333336,5.73
scifact,test,predicted_action_margin,low,Selective retrieval policy,100,0.8436666666666666,0.7365,0.7560342830615128,1.1984166666666667,0.02849999999999997,0.03200000000000025,0.013500000000000002,1.45,0.047233333333333336,5.73
scifact,test,predicted_action_margin,low,Confidence-gated retrieval policy,100,0.8436666666666666,0.7365,0.7560342830615128,1.1984166666666667,0.02849999999999997,0.03200000000000025,0.013500000000000002,1.45,0.047233333333333336,5.73
scifact,test,predicted_action_margin,low,Oracle retrieval action,100,0.9095,0.8218333333333334,0.8383636084450247,1.3201166666666666,0.1501999999999999,0.15370000000000017,0.0003,1.01,0.047233333333333336,5.73
scifact,test,predicted_action_margin,mid,Train-best retrieval action,100,0.8186666666666668,0.7048333333333332,0.727530593725642,1.1410833333333334,0.0,-0.007933333333333348,0.03,2.0,0.0294,6.04
scifact,test,predicted_action_margin,mid,Heuristic retrieval router,100,0.7903333333333333,0.7191666666666666,0.7279380824844996,1.1490166666666668,0.007933333333333348,0.0,0.0009,1.03,0.0294,6.04
